Date,East Coast Production of Gasoline (Thousand Barrels per Day),East Coast Production of Jet Fuel (Thousand Barrels per Day),U.S. Production of Gasoline (Thousand Barrels per Day),U.S. Gasoline Demand (Thousand Barrels per Day),U.S. Production of Jet Fuel (Thousand Barrels per Day)
10/10/1997,1062,115,8116,8221,1568
10/03/1997,1194,114,8334,8379,1573
09/26/1997,1120,99,8134,8140,1607
09/19/1997,956,99,8081,7746,1693
09/12/1997,1025,97,8186,8215,1598
09/05/1997,1088,101,8213,8053,1621
08/29/1997,1054,124,8207,8695,1597
08/22/1997,971,105,7970,7922,1527
08/15/1997,1055,97,7937,8539,1616
08/08/1997,1147,76,7981,8253,1541
08/01/1997,964,91,7806,8290,1682
07/25/1997,1082,101,7959,8600,1540
07/18/1997,1001,96,8173,8595,1666
07/11/1997,990,104,8000,8606,1634
07/04/1997,1024,92,8105,8489,1620
06/27/1997,970,99,8008,8234,1610
06/20/1997,1137,89,8230,8557,1567
06/13/1997,988,107,8122,8009,1534
06/06/1997,1083,101,7917,7590,1549
05/30/1997,924,114,7998,8154,1528
05/23/1997,1150,102,7992,8088,1564
05/16/1997,970,75,7935,8253,1534
05/09/1997,1151,81,8179,7765,1555
05/02/1997,908,81,7791,8224,1528
04/25/1997,959,85,7737,7922,1543
04/18/1997,1111,68,7799,7914,1491
04/11/1997,908,50,7424,7791,1459
04/04/1997,1014,67,7545,8115,1492
03/28/1997,887,64,7079,7492,1493
03/21/1997,970,76,7360,7729,1549
03/14/1997,944,104,7220,8125,1511
03/07/1997,1034,90,7271,7417,1539
02/28/1997,938,98,7330,7779,1611
02/21/1997,930,90,7266,8011,1483
02/14/1997,1052,86,7350,7530,1476
02/07/1997,895,95,7047,7013,1514
01/31/1997,853,82,7315,7125,1551
01/24/1997,813,71,7363,7265,1481
01/17/1997,799,66,7373,7408,1465
01/10/1997,837,62,7276,7440,1548
01/03/1997,785,76,7556,7122,1607
12/27/1996,856,78,7755,7740,1647
12/20/1996,877,70,7573,8051,1600
12/13/1996,919,85,7840,8355,1674
12/06/1996,931,85,8142,7706,1569
11/29/1996,864,85,7486,7370,1575
11/22/1996,916,58,7833,7883,1518
11/15/1996,804,65,7856,8073,1544
11/08/1996,900,55,7588,7804,1428
11/01/1996,897,71,7660,7682,1584
10/25/1996,979,43,7676,7991,1497
10/18/1996,811,66,7248,7958,1517
10/11/1996,880,61,7534,7637,1543
10/04/1996,865,91,7424,7935,1659
09/27/1996,905,100,7722,7619,1654
09/20/1996,974,83,7949,8000,1594
09/13/1996,994,86,7641,7537,1656
09/06/1996,850,113,7362,7843,1632
08/30/1996,916,97,7671,8369,1599
08/23/1996,732,90,7885,8364,1519
08/16/1996,863,87,7758,7818,1431
08/09/1996,764,63,7724,7722,1461
08/02/1996,820,77,7713,8279,1500
07/26/1996,806,87,7686,8067,1500
07/19/1996,799,66,7868,8152,1460
07/12/1996,801,82,7873,7968,1468
07/05/1996,686,81,7700,8015,1496
06/28/1996,732,71,7688,8563,1531
06/21/1996,785,72,7986,7956,1468
06/14/1996,650,81,7564,7957,1556
06/07/1996,789,63,7665,7946,1440
05/31/1996,779,57,7693,7836,1448
05/24/1996,781,63,7510,8080,1435
05/17/1996,746,83,7718,7512,1390
05/10/1996,786,53,7813,8267,1386
05/03/1996,675,81,7567,7592,1446
04/26/1996,882,57,7657,8079,1382
04/19/1996,752,85,7287,7433,1496
04/12/1996,718,89,7427,7804,1514
04/05/1996,716,64,7265,7280,1524
03/29/1996,688,73,7056,7568,1441
03/22/1996,693,45,7465,7900,1451
03/15/1996,790,57,7135,7757,1370
03/08/1996,721,76,7211,7877,1526
03/01/1996,763,49,7323,7338,1429
02/23/1996,683,51,7441,7826,1474
02/16/1996,683,77,7517,7868,1460
02/09/1996,771,63,7139,7520,1467
02/02/1996,787,86,7403,7513,1653
01/26/1996,780,93,7174,7393,1626
01/19/1996,830,111,7324,6949,1576
01/12/1996,774,100,7407,7513,1580
01/05/1996,824,104,7721,7958,1613
12/29/1995,867,87,7747,7035,1522
12/22/1995,907,80,7634,8115,1483
12/15/1995,826,82,7715,7489,1484
12/08/1995,771,89,7549,7949,1501
12/01/1995,867,113,7925,7439,1566
11/24/1995,819,82,7755,7840,1465
11/17/1995,919,138,7821,8021,1518
11/10/1995,845,60,7626,8477,1436
11/03/1995,843,104,7439,7449,1466
10/27/1995,890,85,7597,8103,1428
10/20/1995,893,74,7568,7712,1460
10/13/1995,866,102,7439,7879,1372
10/06/1995,937,91,7590,8106,1412
09/29/1995,917,94,7956,7257,1439
09/22/1995,921,94,7980,7821,1446
09/15/1995,799,92,7925,8249,1455
09/08/1995,813,101,7660,8078,1481
09/01/1995,860,98,7728,7825,1461
08/25/1995,853,101,7640,8206,1434
08/18/1995,901,92,7763,8411,1450
08/11/1995,932,105,7501,7628,1455
08/04/1995,897,92,7678,8402,1422
07/28/1995,824,87,7787,8213,1430
07/21/1995,883,89,7957,8483,1520
07/14/1995,763,91,7817,7866,1445
07/07/1995,961,95,7910,7996,1417
06/30/1995,869,93,7806,8238,1444
06/23/1995,921,94,8071,8489,1358
06/16/1995,921,97,7752,7971,1360
06/09/1995,827,92,7810,8055,1411
06/02/1995,852,88,7880,8460,1383
05/26/1995,894,91,8127,7797,1422
05/19/1995,837,74,7754,8183,1364
05/12/1995,833,91,7603,8052,1310
05/05/1995,750,85,7546,7539,1375
04/28/1995,856,105,7563,7731,1396
04/21/1995,886,78,7721,8156,1278
04/14/1995,926,68,7571,7543,1238
04/07/1995,775,90,7161,7588,1225
03/31/1995,877,64,7383,8195,1320
03/24/1995,862,61,7281,7797,1247
03/17/1995,863,55,7090,7834,1200
03/10/1995,958,75,7255,7548,1326
03/03/1995,966,103,7546,7194,1337
02/24/1995,870,69,7269,7670,1382
02/17/1995,1020,75,7295,7398,1380
02/10/1995,792,82,7159,7132,1346
02/03/1995,872,93,7423,7267,1350
01/27/1995,841,82,7209,6976,1391
01/20/1995,786,68,7314,7260,1413
01/13/1995,892,63,7642,7534,1454
01/06/1995,770,80,7483,7134,1506
12/30/1994,824,53,7746,7718,1526
12/23/1994,811,89,7663,8278,1501
12/16/1994,818,91,7730,7933,1601
12/09/1994,833,94,7904,8229,1580
12/02/1994,927,106,8143,7593,1601
11/25/1994,870,97,7745,7431,1484
11/18/1994,888,70,7940,7929,1429
11/11/1994,837,86,7519,7377,1502
11/04/1994,780,83,7281,7432,1409
10/28/1994,746,67,7401,8204,1390
10/21/1994,780,62,7249,8143,1402
10/14/1994,710,56,7278,7562,1468
10/07/1994,739,82,7246,7515,1521
09/30/1994,746,47,7578,7733,1442
09/23/1994,667,92,7416,7763,1443
09/16/1994,647,75,7381,7601,1467
09/09/1994,564,87,7135,6955,1525
09/02/1994,596,78,7350,8061,1567
08/26/1994,703,68,7231,7750,1498
08/19/1994,726,91,7498,7836,1514
08/12/1994,743,79,7370,8187,1524
08/05/1994,642,82,7130,7638,1557
07/29/1994,703,66,7113,7581,1417
07/22/1994,643,74,7159,7523,1396
07/15/1994,696,80,7468,8006,1507
07/08/1994,709,58,6976,7562,1343
07/01/1994,787,65,7484,7930,1473
06/24/1994,760,82,7660,7909,1442
06/17/1994,725,58,7307,7650,1341
06/10/1994,798,84,7426,7770,1479
06/03/1994,816,68,7404,7461,1366
05/27/1994,743,77,7373,8028,1469
05/20/1994,728,86,7309,7938,1367
05/13/1994,686,58,7313,7552,1447
05/06/1994,786,57,7383,6824,1467
04/29/1994,707,70,7432,7892,1437
04/22/1994,700,72,7452,7042,1452
04/15/1994,676,81,7119,7720,1416
04/08/1994,631,70,6700,7187,1332
04/01/1994,665,41,6870,7398,1327
03/25/1994,730,63,6819,7481,1294
03/18/1994,695,35,6792,7521,1307
03/11/1994,781,66,6721,7214,1293
03/04/1994,710,58,6785,7286,1288
02/25/1994,888,67,6947,7372,1331
02/18/1994,743,112,6815,6993,1389
02/11/1994,804,92,6791,7487,1449
02/04/1994,720,100,6791,6953,1492
01/28/1994,721,86,6749,6321,1432
01/21/1994,674,84,6980,7157,1349
01/14/1994,849,67,7380,7124,1389
01/07/1994,825,92,7368,7124,1418
12/31/1993,841,95,7503,7567,1426
12/24/1993,754,80,7379,7411,1452
12/17/1993,789,90,7650,7684,1392
12/10/1993,797,76,7719,8074,1409
12/03/1993,836,80,7888,7430,1371
11/26/1993,838,81,7552,6845,1386
11/19/1993,811,62,7905,7992,1292
11/12/1993,752,81,7761,7552,1291
11/05/1993,732,58,7393,7640,1329
10/29/1993,766,110,7498,7788,1287
10/22/1993,820,78,7466,7704,1192
10/15/1993,755,80,7483,7613,1284
10/08/1993,781,76,7293,7276,1290
10/01/1993,779,88,7344,7387,1339
09/24/1993,799,86,7834,7485,1363
09/17/1993,804,68,7596,7478,1304
09/10/1993,688,69,7510,7889,1296
09/03/1993,696,50,7175,7386,1265
08/27/1993,677,81,7265,7629,1285
08/20/1993,674,57,7378,8187,1305
08/13/1993,700,70,7205,7581,1376
08/06/1993,718,67,7305,8033,1370
07/30/1993,786,85,7313,7336,1388
07/23/1993,738,107,7469,7916,1401
07/16/1993,703,86,7509,8113,1361
